Size,Write Time (ms),Write Data Rate (bytes/s),Read Time (ms),Read Data Rate (bytes/s),,,,,"1, 12, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288"
1,1622,0.616522811,150,6.666666667,,,,,"        1048576, 2097152, 4194304"
12,1498,8.010680908,150,80,,,,,
128,1499,85.39026017,150,853.3333333,,,,,
256,1527,167.6489849,151,1695.364238,,,,,
512,1509,339.297548,151,3390.728477,,,,,
1024,1535,667.1009772,151,6781.456954,,,,,
2048,1500,1365.333333,151,13562.91391,,,,,
4096,1612,2540.942928,310,13212.90323,,,,,
8192,1821,4498.627128,639,12820.0313,,,,,
16384,2213,7403.524627,1316,12449.84802,,,,,
32768,3893,8417.159003,2868,11425.38354,,,,,
65536,6693,9791.722695,5658,11582.89148,,,,,
131072,12180,10761.24795,11668,11233.45903,,,,,
262144,23743,11040.89626,23329,11236.8297,,,,,
524288,47001,11154.82649,48732,10758.59805,,,,,
1048576,92619,11321.39194,97720,10730.41343,,,,,
2097152,184096,11391.62176,197957,10593.97748,,,,,
4194304,367809,11403.48387,406542,10317.02506,,,,,
